,name,rating,salary,reviews
0,TCS,3.8,732.2k,62.6k
1,Accenture,4.1,511.9k,732.2k
2,Cognizant,3.9,496k,5.2k
3,Wipro,3.8,369k,45
4,ICICI Bank,4.0,136.7k,25.5k
5,HDFC Bank,3.9,125.7k,65
6,Infosys,3.9,425.8k,40k
7,Capgemini,3.9,337k,511.9k
8,Tech Mahindra,3.7,236.3k,3.5k
9,HCLTech,3.7,247.6k,13.3k
10,Genpact,4.0,175.4k,18.2k
11,Axis Bank,3.8,94.6k,33
12,Concentrix Corporation,3.9,96.6k,36.4k
13,Amazon,4.2,118.6k,496k
14,IBM,4.1,201.5k,3.1k
15,Reliance Jio,3.9,66.8k,481
16,Larsen & Toubro Limited,4.0,77.6k,14.9k
17,HDB Financial Services,4.0,49.4k,47
18,Reliance Retail,3.9,53.6k,33.1k
19,Teleperformance,3.6,72.1k,369k
20,Vodafone Idea,4.2,66.6k,14.3k
21,Deloitte,4.0,137.7k,66.6k
22,BYJU'S,3.2,49.3k,382
23,Kotak Mahindra Bank,3.8,74.7k,390
24,Reliance Industries,4.0,64.9k,6.5k
25,Bharti Airtel,4.0,44.7k,4
26,Tata Motors,4.2,42.6k,12.5k
27,Flipkart,4.1,45.2k,137.7k
28,Ernst & Young,3.7,104.6k,1.4k
29,WNS,3.6,51.6k,285
30,Mahindra & Mahindra,4.1,38.8k,5.1k
31,IndusInd Bank,3.7,44k,18
32,DXC Technology,3.9,76.2k,12.3k
33,Infosys BPM,3.9,52.9k,49.3k
34,IDFC FIRST Bank,4.0,37.9k,1.6k
35,Conneqt Business Solutions,3.8,25k,926
36,iEnergizer,4.3,17.2k,2.9k
37,Hinduja Global Solutions,4.0,26.8k,15
38,Bajaj Finserv,4.0,24.4k,12.3k
39,HSBC Group,4.1,55.6k,74.7k
40,Startek,3.2,23.5k,6k
41,LTIMindtree,3.8,74.9k,23.5k
42,Mphasis,3.6,58.2k,269
43,Ericsson,4.3,43.7k,28
44,PwC,3.7,65.3k,2.7k
45,Maruti Suzuki,4.2,26.9k,2
46,HDFC Life,4.1,24.7k,6k
47,Yes Bank,3.9,39.4k,74.9k
48,Dr. Reddy's,4.2,23.6k,769
49,Asian Paints,4.1,20.2k,35
50,Cipla Pharmaceutical,4.1,23.7k,1.8k
51,Sutherland Global Services,3.8,26.8k,23
52,NTT DATA,4.0,49.3k,6k
53,ICICI Prudential Life Insurance,4.1,21.1k,58.2k
54,Jana Small Finance Bank,3.8,15.6k,411
55,EXL Service,3.8,32.1k,75
56,KPMG,3.7,53.3k,2.5k
57,HCL Group,3.8,72.2k,10
58,Udaan,4.0,19.4k,6k
59,UltraTech Cement,4.2,20.4k,43.7k
60,Lupin,4.1,21.7k,4.9k
61,Paytm,3.5,27.4k,21.7k
62,Bandhan Bank,3.8,18.1k,221
63,Bajaj Finance,4.1,18.9k,14
64,L&T Infotech,3.8,68.2k,2.3k
65,ITC,3.9,22.5k,--
66,Indian Army,4.7,10.9k,4.8k
67,AU Small Finance Bank,4.2,16.5k,27.4k
68,JP Morgan Chase,4.2,60.1k,359
69,FIS,4.0,36k,521
70,Hindustan Unilever,4.2,21.2k,1.7k
71,Wells Fargo,4.2,39.3k,17
72,Delhivery,4.0,16.1k,4.8k
73,IIFL Finance,3.8,17.8k,18.1k
74,Amazon Development Centre India,4.2,4k,300
75,Quess,3.9,22.6k,18
76,Home Credit Finance,4.1,12k,1.4k
77,TATA Steel,4.1,20.3k,2
78,Sun Pharmaceutical Industries,4.1,19.6k,4.7k
79,Hexaware Technologies,3.7,41.5k,18.9k
80,OPPO,3.9,14.8k,4k
81,Ujjivan Small Finance Bank,4.1,12.5k,14.8k
82,Shapoorji Pallonji Group,4.2,14.9k,147
83,JSW Steel,3.9,22.5k,21
84,Shriram Transport Finance,4.1,9.8k,1.8k
85,Ashok Leyland,4.1,19k,7
86,Max Life Insurance,4.1,15.5k,4k
87,Muthoot Finance,3.6,11.7k,12.5k
88,Vivo,4.0,14.7k,131
89,Aurobindo Pharma,4.0,21.2k,69
90,Oracle,3.9,49.6k,1.7k
91,Apollo Hospitals,4.1,15.9k,2
92,eClerx,3.5,25.6k,3.9k
93,Siemens,4.2,27.2k,14.9k
94,Zydus Cadila,4.2,14.5k,202
95,Tata Projects,4.2,18.6k,37
96,Capgemini Technology Services India Limited,4.0,41.9k,1.7k
97,JLL,4.2,18.8k,4
98,First Source,3.8,19.2k,3.9k
99,Hero MotoCorp,4.2,14.4k,22.5k
100,JustDial,3.6,14.8k,3.6k
101,Hewlett-Packard Enterprise,4.3,31.8k,14.8k
102,Bajaj Allianz Life Insurance,4.1,14.7k,202
103,Mahindra & Mahindra Financial Services,4.3,10.9k,108
104,Omega Healthcare,3.7,18.8k,1.3k
105,Cyient,3.7,24.6k,7
106,L&T Construction,4.0,13.4k,3.6k
107,Megha Engineering & Infrastructures,4.1,14k,31.8k
108,D Mart,3.9,13.4k,154
109,Hyundai Motor,4.3,13.7k,55
