,name,Year,genre,artist
0,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,AnimationActionAdventure ,Micah AbbeyShamon Brown Jr.Nicolas CantuBrady Noon 
1,The Equalizer 3,2023,ActionCrimeThriller ,Denzel WashingtonDakota FanningEugenio MastrandreaDavid Denman 
2,Fuck Them All!,2023,Biography ,Old-NickJanet PriestSophie FournierJohn Waterhouse 
3,Kushi,2023,ComedyDramaRomance ,Samantha Ruth PrabhuVijay DeverakondaLakshmiMurli Sharma 
4,Goldfish,2022,Drama ,Kalki KoechlinDeepti NavalGordon WarneckeRajit Kapoor 
5,Territory,2023,Thriller ,Sheshpal GanvirSandeep KulkarniKishor KadamYogesh Kulkarni 
6,Mystery of the Tattoo,2023,DramaFamily ,Rohit RaajArjun RampalDaisy ShahManoj Joshi 
7,Rangoli,2023,ActionThriller ,HamareshAadukalam MurugadossPrarthana SandeepSaishri Prabhakaran 
8,Paramporul,2023,DramaRomance ,R. SarathkumarKashmira PardeshiAmitash PradhanBalaji Sakthivel 
9,Saptha Sagaradaache Ello,2023,ComedyCrime ,Rakshit ShettyRukmini VasanthAchyuth KumarPavitra Lokesh 
10,Acting Ka Bhoot,2023,Thriller ,Aham SharmaRajni KatiyarSaanand VermaIshtiyak Khan 
11,Cheta Singh,2023,Sport ,Japji KhairaMintu KapaPrince Kanwaljit SinghIrwin Meet Kaur 
12,Love-All,2023,ActionDramaRomance ,Kay Kay MenonSwastika MukherjeeShriswaraAtul Srivastava 
13,Naa Nee Prema Katha,2023,Comedy ,Amuda SrinivasKarunya ChowdaryRamya SriAjay Ghosh 
14,Thudikkum Karangal,2023,Drama ,Suresh MenonMisha NarangManoj SakarapaniVemal 
15,Lucky Man,2023,ActionComedyDrama ,Yogi BabuRaichal RabeccaR.S. ShivajiAbdool Lee 
16,Ek Betuke Aadmi Ki Afrah Raatein,2023,Romance ,Adil HussainMia MaelzerArchanna GuptaaRajveer Verma 
17,Kick,2023,Thriller ,BrahmanandamSanthanamMotta RajendranRagini Dwivedi 
18,Prema Deshapu Yuvarani,2023,ActionThriller ,Priynka RewriRaghuYamin RaazViraat Karthik 
19,Happy Teachers' Day,2023,ComedyDramaRomance ,Nimrat KaurRadhika MadanPriyanshu ChatterjeeChinmay Mandlekar 
20,Jawan,2023,HorrorMysteryThriller ,Shah Rukh KhanNayantharaVijay SethupathiDeepika Padukone 
21,Miss Shetty Mr Polishetty,2023,ActionThriller ,Keshav DeepakAbhinav GomatamJayasudhaKoushik Mahata 
22,The Nun II,2023,DramaRomance ,Bonnie AaronsTaissa FarmigaAnna PopplewellStorm Reid 
23,Angaaragan,2023,CrimeDramaHorror ,SreepathySathyarajNiya SankranthilAngadi Theru Mahesh 
24,Red Sandal Wood,2023,BiographyDrama ,G. MarimuthuRamachandra RajuMimmoGanesh Venkatraman 
25,Thirayattam,2023,CrimeThriller ,Sreelakshmi AravindakshanJijo GopiNadam Murali 
26,A Haunting in Venice,2023,ActionDramaRomance ,Kenneth BranaghMichelle YeohJamie DornanTina Fey 
27,Sri,2023,ActionDramaSci-Fi ,Rajkummar RaoAlaya FJyotikaSharad Kelkar 
28,Tatsama Tadbhava,2023,Drama ,Meghana RajSruthi HariharanT.S. NagabharanaPrajwal Devaraj 
29,Skanda- the Attacker,2023,ComedyDramaRomance ,SreeleelaRam PothineniPrince Cecil 
30,Mark Antony,2023,Thriller ,VishalS.J. SuryahRitu VarmaSunil 
31,Hu Ane Tu,2023,Comedy ,Siddharth RanderiaSonali Lele DesaiPuja JoshiParikshit Tamalia 
32,Baanadariyalli,2023,ActionDramaThriller ,Rukmini VasanthGaneshRangayana RaghuReeshma Nanaiah 
33,Aanmeega Azhaippu,2023,ActionCrimeDrama ,R. Sathiyamoorthi JeyaguruSubikshaAdhesh BalaGopinath 
34,Buhey Bariyan,2023,Drama ,Neeru BajwaSimone SinghGurpreet BhanguNirmal Rishi 
35,Nadikalil Sundari Yamuna,2023,Mystery ,Aju VargheseDhyan SreenivasanNavas VallikkunnuNirmal Palazhi 
36,Kasargold,2023,Drama ,VinayakanAsif AliSiddiqueP.P. Kunhikrishnan 
37,Parimala D'Souza,2023,ComedyDramaHorror ,Krishnappa KgfKomala BanavaseVinod SheshadriGhamanya 
38,Kaadhal Conditons Apply,2023,CrimeThriller ,Venkat PrabhuDivyadarshiniManobalaSana Khan 
39,Pratha,2023,Drama ,Simaran KaurSheetal PatraSwaraj BarikBobby Mishra 
40,Bhole Oye,2023,Drama ,Jagjeet SandhuDheeraj KumarGurnavdeep SinghJeet Bhangu 
41,Chandramukhi 2,2023,Animation ,Kangana RanautRaghava LawrenceSathyarajVadivelu 
42,Vinveli Devathai,2023,ActionAdventureMystery ,Shalini BalasundaramAuro Chakkravarthy 
43,Chaaver,2023,Biography ,Kunchacko BobanArjun AshokanAntony VargheseSangeetha 
44,The Great Indian Family,2023,Romance ,Vicky KaushalManushi ChhillarKumud MishraManoj Pahwa 
45,Sukhee,2023,Family ,Shilpa Shetty KundraAmit SadhChaitannya ChoudhryKusha Kapila 
46,Bhagwan Bharose,2023,ActionDramaThriller ,Satendra SoniSparsh SumanVinay PathakMasumeh Makhija 
47,Luv You Shankar,2023,Drama ,Sanjay MishraAbhimanyu SinghTanishaa MukerjiShreyas Talpade 
48,Ashtadigbandhanam,2023,DramaThriller ,Surya Bharath ChandraVishika KotaViswender ReddyVivareddy 
49,Blackia 2,2023,ComedyDrama ,Raj Singh JhinjarSukhwinder ChahalDev KharoudSamuel John 
50,Che,2023,DramaRomanceThriller ,Pasala Uma MaheshwarB. R. Sabhavath NayakKartheek NuneLavanya Sameera 
51,Demon,2023,ComedyDrama ,SachinnAparnathiSuruthi PeriyasamyKumki Ashwin 
52,Rab di Mehhar,2023,ActionDramaFamily ,Ajay SarkariaKashish RaiDheeraj KumarSukhwinder Chahal 
53,Udd Jaa Nanhe Dil,2023,Biography ,Gaurav KambleSuniel ShettySurendra PalRajgopal Iyer 
54,Salaar,2023,Drama ,PrabhasPrithviraj SukumaranShruti HaasanJagapathi Babu 
55,The Vaccine War,2023,ActionThriller ,Anupam KherNana PatekarPallavi JoshiMohan Kapur 
56,Chittha,2023,BiographyDramaHistory ,Siddharth 
57,Gaddi Jaandi Ae Chalaangaan Maardi,2023,Comedy ,Jasmin BajwaAmmy VirkBinnu DhillonJaswinder Bhalla 
58,Dear Jassi,2023,ComedyDramaFamily ,Pavia SidhuYugam SoodGourav SharmaSukhwinder Chahal 
59,Teen Adkun Sitaram,2023,ComedyDrama ,Hrishikesh JoshiSankarshan KarhadePrajakta MaliAlok Rajwade 
60,Rajakili,2023,Romance ,SamuthirakaniReshma PasupuletiIlavarasuAadukalam Naren 
61,S.P.E.E.D.,2023,Action ,Old-NickAlex HallJanet PriestVincent X. Hall 
62,U Shape Ki Gully,2023,AnimationActionAdventure ,Sushant SinghJaaved JaaferiVivaan ShahIshtiyak Khan 
63,Mangalavaram,2023,Drama ,Divya PillaiNandita ShwethaAjay GhoshPriyadarshi Pulikonda 
64,The Great Indian Rescue,2023,ActionCrimeDrama ,Akshay KumarParineeti ChopraRajesh SharmaHimanshu Jaykar 
65,Dono,2023,ActionThriller ,Rajveer DeolPaloma Dhillon 
66,Thank You for Coming,2023,ActionDrama ,Anil KapoorBhumi PednekarShehnaaz GillShibani Bedi 
67,Yaatris,2023,Thriller ,Raghubir YadavSeema PahwaAnuraag MalhanJamie Lever 
68,Tillu Square,2023,ActionDramaSci-Fi ,Anupama ParameswaranSidhu JonnalagaddaSriram Reddy PolasaneRaj Tirandasu 
69,Pher Mamlaa Gadbad Hai,2023,ComedyDramaMusical ,Jaswinder BhallaBaninder BunnyPrreit KamalNinja 
70,The Dark Face,2023,ActionBiographyCrime ,Shibam SamantaSanjay Kumar Mishra 
71,PAW Patrol: The Mighty Movie,2023,Thriller ,Finn Lee-EppRon PardoMckenna GraceChristian Convery 
72,White Punjab,2023,ActionDramaThriller ,Samuel JohnKartar CheemaDakssh Ajit SinghRabbi Kandola 
73,Leo,2023,AdventureDrama ,Joseph VijayAnurag KashyapSanjay DuttGautham Vasudev Menon 
74,Ghost,2023,Comedy ,Anupam KherShivarajkumarJayaramArchana Jois 
75,Bhagavanth Kesari,2023,BiographyHistory ,Arjun RampalKajal AggarwalR. SarathkumarSreeleela 
76,Raktabeej,2023,Thriller ,Victor BanerjeeMimi ChakrabortyDebashish MondalAbir Chatterjee 
77,Ganapath,2023,Drama ,Tiger ShroffHimanshu JaykarKriti SanonAmitabh Bachchan 
78,Yaariyan 2,2023,Drama ,Divya Khosla KumarMeezaan JafriPearl V PuriYash Dasgupta 
79,Tiger Nageswara Rao,2023,Action ,Anupam KherJohn AbrahamKarthiRavi Teja 
80,Dasham Avatar,2023,ActionBiographyDrama ,Jisshu SenguptaPrasenjit ChatterjeeAnirban BhattacharyaSubhasree Ganguly 
81,Tejas,2023,ActionFantasy ,Kangana RanautVarun MitraAnshul ChauhanRohed Khan 
82,The Goat Life,2023,Comedy ,Prithviraj SukumaranJimmy Jean-LouisAmala PaulShobha Mohan 
83,Maujaan Hi Maujaan,2023,Drama ,Gippy GrewalBinnu DhillonKaramjit AnmolTanu Grewal 
84,Bagha Jatin,2023,CrimeDrama ,Alexandra TaylorDevSudipta ChakrabortySamiul Alam 
85,The Journey of Donkers,2023,ActionAdventureThriller ,Leena SharmaCol Ravi SharmaGulshan NainAnkit Hans 
86,12th Fail,2023,ActionAdventureSci-Fi ,Perry ChhabraVikrant MasseySukumar TuduPriyanshu Chatterjee 
87,Gandhi & Co.,2022,ActionDrama ,Dhyani JaniDarshan JariwalaDruma MehtaKrishil Rajpal 
88,Meera,2023,ActionComedyDrama ,Heena VardeSanjay ParmarReeva RachhChetan Daiya 
