,name,Year,genre,artist
0,A Haunting in Venice,2023,CrimeDramaHorror ,Kenneth BranaghMichelle YeohJamie DornanTina Fey 
1,Mark Antony,2023,ActionComedyDrama ,VishalSunilS.J. SuryahKarthi 
2,Hu Ane Tu,2023,Drama ,Siddharth RanderiaSonali Lele DesaiPuja JoshiPankaj Anand 
3,Buhe Bariyan,2023,ActionDramaThriller ,Neeru BajwaSimone SinghGurpreet BhanguNirmal Rishi 
4,Ramanna Youth,2023,BiographyDrama ,Srikanth IyengarAbhay BethigantiBunny AbiranVishnu Oi 
5,Kasargold,2023,ActionCrimeDrama ,VinayakanAsif AliP.P. KunhikrishnanSiddique 
6,Sri,2023,Mystery ,Rajkummar RaoAlaya FJyotikaSharad Kelkar 
7,Parimala D'Souza,2023,ComedyDramaRomance ,Krishnappa KgfLakshman GowdaKomala BanavaseUgram Reddy 
8,Pratha,2023,Comedy ,Simaran KaurSheetal PatraYash AhlawatBobby Mishra 
9,Baanadariyalli,2023,Drama ,Rukmini VasanthGaneshReeshma NanaiahRangayana Raghu 
10,Nadikalil Sundari Yamuna,2023,Thriller ,Dhyan SreenivasanAju VarghesePragya NagraVismaya 
11,Praavu,2023,Thriller ,Amith ChakalakkalManoj K.U.Sabumon AbdusamadNisha Sarangh 
12,Kaadhal Conditons Apply,2023,CrimeThriller ,Venkat PrabhuDivyadarshiniManobalaSana Khan 
13,Tales of Mahanagara,2023,Drama ,Vijay AtharvU S RamolaSampath MaitreyaVijay Venkatesh 
14,Aanmeega Azhaippu,2023,Action ,R. Sathiyamoorthi JeyaguruSubikshaAdhesh BalaGopinath 
15,Tatsama Tadbhava,2023,Drama ,Sruthi HariharanMeghana RajPrajwal DevarajPrashanth Natana 
16,Bhole Oye,2023,CrimeThriller ,Jagjeet SandhuDheeraj KumarGurnavdeep SinghJeet Bhangu 
17,Buddhivantha 2,2023,Drama ,UpendraMeghana RajSonal MonteiroSrinagar Kitty 
18,Pushkara,2023,Comedy ,Sabyasachi MishraSupriya NayakChoudhury Bikash DasAsrumochan Mohanty 
19,Chaaver,2023,DramaFantasyMystery ,Antony VargheseKunchacko BobanArjun AshokanJoy Mathew 
20,Vinveli Devathai,2023,Animation ,Shalini BalasundaramAuro Chakkravarthy 
21,Sukhee,2023,ActionAdventureMystery ,Shilpa Shetty KundraAmit SadhChaitannya ChoudhryKusha Kapila 
22,The Great Indian Family,2023,DramaRomance ,Vicky KaushalManushi ChhillarKumud MishraBhuvan Arora 
23,Theeppori Benny,2023,Romance ,Aparna BalamuraliArjun AshokanFemina GeorgeJagadish 
24,Tantiram,2023,Biography ,Avinash YelandurSrikanth GurramSukanya GadavirKalidindi 
25,Luv You Shankar,2023,Family ,Sanjay MishraAbhimanyu SinghTanishaa MukerjiShreyas Talpade 
26,Ashtadigbandhanam,2023,ComedyCrimeDrama ,Vishika KotaViswender ReddyMahesh RavulSurya Bharath Chandra 
27,Thirayattam,2023,ComedyDramaHorror ,Sreelakshmi AravindakshanJijo GopiNadam Murali 
28,Blackia 2,2023,Drama ,Raj Singh JhinjarParamveer SinghJapji KhairaSukhwinder Chahal 
29,Rab di Mehhar,2023,DramaHorrorThriller ,Ajay SarkariaKashish RaiDheeraj KumarSukhwinder Chahal 
30,Demon,2023,ActionDramaRomance ,SachinnAparnathiSuruthi PeriyasamyKumki Ashwin 
31,Khalga,2023,ActionCrimeDrama ,Madhavi JuvekarShhivaji DoltadeRoshni KadamKalyani Pawar 
32,Che,2023,DramaThriller ,Pasala Uma MaheshwarB. R. Sabhavath NayakKartheek NuneLavanya Sameera 
33,Udd Jaa Nanhe Dil,2023,ComedyDrama ,Gaurav KambleSuniel ShettySurendra PalRajgopal Iyer 
34,Fukrey 3,2023,DramaThriller ,Ali FazalPankaj TripathiRicha ChadhaFarhan Akhtar 
35,Chandramukhi 2,2023,ComedyDrama ,Kangana RanautMahima NambiarRaghava LawrenceSathyaraj 
36,The Vaccine War,2023,Biography ,Anupam KherGirija OakNana PatekarNivedita Bhattacharya 
37,Iraivan,2023,DramaFamily ,NayantharaJayam RaviRahul BoseAshish Vidyarthi 
38,Skanda- the Attacker,2023,ActionDramaFamily ,Saiee ManjrekarRam PothineniSreeleelaPrince Cecil 
39,Kannur Squad,2023,Biography ,MammoottyKishore Kumar G.VijayaraghavanRony David 
40,Parking,2023,Drama ,Harish KalyanIlavarasuIndhuja RavichandranM.S. Bhaskar 
41,MAD,2023,ActionThriller ,Anudeep K.V.Muralidhar GoudSangeeth ShobhanRaghu Babu 
42,Gaddi Jaandi Ae Chalaangaan Maardi,2023,Drama ,Jasmin BajwaAmmy VirkBinnu DhillonB.N. Sharma 
43,Chithha,2023,Comedy ,SiddharthNimisha Sajayan 
44,Teen Adkun Sitaram,2023,BiographyDramaHistory ,Hrishikesh JoshiSankarshan KarhadePrajakta MaliAlok Rajwade 
45,Hu chhu Mr. Shankar,2023,Romance ,Mehul BhojakPrashant BarotKomal ThackerDharmesh Vyas 
46,Peda Kapu-1,2023,Drama ,Nagendra BabuEaswari RaoRao RameshTanikella Bharani 
47,Rajakili,2023,ComedyDrama ,SamuthirakaniReshma PasupuletiIlavarasuDeepa Shankar 
48,S.P.E.E.D.,2023,ActionCrimeThriller ,Alex HallVincent X. HallOld-NickJanet Priest 
49,U Shape Ki Gully,2023,ActionDrama ,Jaaved JaaferiAvantika DasaniSushant SinghVivaan Shah 
50,Mangalavaram,2023,ComedyDramaFamily ,Nandita ShwethaDivya PillaiAjay GhoshAjmal Ameer 
51,Dono,2023,Romance ,Rajveer DeolPaloma DhillonRohan Khurana 
52,Thank You for Coming,2023,CrimeDramaThriller ,Bhumi PednekarDolly AhluwaliaShibani BediSaloni Daini 
53,The Great Indian Rescue,2023,Action ,Akshay KumarParineeti ChopraRajesh SharmaRavi Kishan 
54,Rules Ranjan!,2023,AnimationActionAdventure ,Kiran AbbavaramVennela KishoreAnnu KapoorMakrand Deshpande 
55,Dil Dosti Deewangi,2023,Drama ,Smita GondkarVeena JagtapKashyap ParulekarChirag Patil 
56,Aatmapamphlet,2023,ComedyDrama ,Om BendkhaleRajratna BhojaneKhushi HajareBhimrao Mude 
57,Raakshasa Kaavyam,2023,Drama ,Dayanand ReddyAbhay BethigantiKushalini PulapaPraveen Dacharam 
58,Maama Mascheendra,2023,ActionHorrorMystery ,Eesha RebbaSudheer Babu PosaniAjayMirnalini Ravi 
59,The Road,2023,ActionCrimeDrama ,Trisha KrishnanVela RamamoorthyMiya GeorgeShabeer Kallarakkal 
60,Yaatris,2023,ActionThriller ,Raghubir YadavSeema PahwaAnuraag MalhanJamie Lever 
61,Month of Madhu,2023,ActionDrama ,Naveen ChandraSwathi ReddyShreya NavileRaja Chembolu 
62,Pher Mamlaa Gadbad Hai,2023,Thriller ,Jaswinder BhallaBaninder BunnyPrreit KamalNinja 
63,Raththam,2023,BiographyHistory ,Mahima NambiarVijay AntonyRamya NambeeshanNandita Shwetha 
64,The Dark Face,2023,ActionDramaSci-Fi ,Sanjay Kumar MishraShibam Samanta 
65,PAW Patrol: The Mighty Movie,2023,ComedyDramaMusical ,Finn Lee-EppRon PardoMckenna GraceChristian Convery 
66,Guthlee,2023,DramaRomance ,Sanjay MishraSubrat DuttaKalyanee MulayHeet Sharma 
67,Bhagwan Bharose,2023,ActionBiographyCrime ,Satendra SoniSparsh SumanVinay PathakMasumeh Makhija 
68,White Punjab,2023,Comedy ,Kartar CheemaSamuel JohnDakssh Ajit SinghRabbi Kandola 
69,The Key,2016,AdventureDrama ,Gedeon BurkhardMiriam Anna SchroetterCarrie GetmanShon Abram 
70,Leo,2023,ActionDramaThriller ,Joseph VijaySanjay DuttAnurag KashyapTrisha Krishnan 
71,Ghost,2023,Thriller ,Anupam KherShivarajkumarJayaramArchana Jois 
72,Bhagavanth Kesari,2023,ActionComedyDrama ,Nandamuri BalakrishnaKajal AggarwalSreeleelaArjun Rampal 
73,Raktabeej,2023,ActionBiographyDrama ,Mimi ChakrabortyVictor BanerjeeAbir ChatterjeeDebashish Mondal 
74,Bagha Jatin,2023,Drama ,DevAlexandra TaylorSudipta ChakrabortySamiul Alam 
75,Malyagiri,2023,Drama ,Babushan MohantySuryamayee MahapatraPrangya PriyadarshanAmlan Das 
76,Ganapath,2023,ComedyDrama ,Tiger ShroffHimanshu JaykarKriti SanonAmitabh Bachchan 
77,Yaariyan 2,2023,ActionFantasy ,Divya Khosla KumarMeezaan JafriPearl V PuriYash Dasgupta 
78,Sapta Sagaradaache Ello - Side B,2023,Comedy ,Rakshit ShettyRukmini VasanthChaithra J. AcharGopalkrishna Deshpande 
79,Tiger Nageswara Rao,2023,Drama ,Anupam KherJohn AbrahamKarthiRavi Teja 
80,Maujaan Hi Maujaan,2023,ActionThriller ,Gippy GrewalBinnu DhillonKaramjit AnmolTanu Grewal 
81,The Goat Life,2023,ComedyRomance ,Prithviraj SukumaranJimmy Jean-LouisAmala PaulShobha Mohan 
82,Pyaar Hai Toh Hai,2023,ActionAdventureThriller ,Karan HariharanPaanie KashyapRohit ChoudhuryShiv Prateek 
83,Tejas,2023,ActionAdventureSci-Fi ,Kangana RanautAnshul ChauhanVarun MitraVeenah Naair 
